date,s1_radar,s2_optical,s3_fire,s5p_co,s5p_no2,s2_avg_cloud,s2_cloud_free,ucdp_events,ucdp_deaths,firms_fires,firms_frp,ds_points,ds_polygons,ds_features,monthly_loss,cumulative_personnel
2022-05-01,41.0,183.0,127.0,66.0,66.0,45.5686252295082,44.0,686.0,4802.0,5843,38759.79,159.38888888888889,53.166666666666664,219.27777777777777,7300.0,30500
2022-06-01,37.0,168.0,122.0,85.0,87.0,37.97933885714286,72.0,783.0,3372.0,4258,20042.54,161.9811320754717,59.58490566037736,229.03846153846155,5100.0,35600
2022-07-01,39.0,174.0,127.0,71.0,71.0,30.963653557471265,79.0,675.0,3098.0,8216,74609.64,156.42105263157896,58.8421052631579,220.66666666666666,5230.0,40830
2022-08-01,35.0,181.0,126.0,63.0,111.0,43.39227255248619,67.0,827.0,3681.0,6671,49656.92,163.85185185185185,70.96296296296296,238.30769230769232,7070.0,47900
2022-09-01,37.0,177.0,124.0,383.0,383.0,57.560228689265536,43.0,790.0,4556.0,2310,13936.08,130.33333333333334,79.08888888888889,213.37777777777777,11180.0,59080
2022-10-01,41.0,168.0,128.0,398.0,398.0,55.64647963095238,48.0,660.0,5036.0,1489,8637.06,114.14634146341463,85.97560975609755,200.1219512195122,12740.0,71820
2022-11-01,37.0,159.0,123.0,384.0,384.0,80.61182,16.0,532.0,6932.0,361,1516.58,114.61290322580645,87.96774193548387,202.61290322580646,17060.0,88880
2022-12-01,36.0,159.0,127.0,342.0,395.0,75.10589057861635,18.0,542.0,9430.0,195,1505.78,117.43478260869566,77.65217391304348,195.08695652173913,17080.0,105960
2023-01-01,40.0,177.0,128.0,0.0,74.0,74.33768204519775,33.0,768.0,18152.0,226,906.31,166.96153846153845,78.96153846153847,245.92307692307693,21540.0,127500
2023-02-01,33.0,159.0,114.0,0.0,264.0,82.63615975471699,10.0,616.0,5849.0,287,1900.04,200.19230769230768,81.3076923076923,282.46153846153845,21740.0,149240
2023-03-01,40.0,181.0,127.0,44.0,367.0,69.47906556353591,29.0,594.0,6007.0,2472,18102.62,203.4516129032258,81.0,285.4516129032258,24120.0,173360
2023-04-01,35.0,172.0,123.0,61.0,227.0,81.9131884244186,16.0,556.0,4148.0,851,4847.74,205.57692307692307,80.88461538461539,287.4,17150.0,190510
2023-05-01,40.0,177.0,127.0,14.0,86.0,55.411903485875705,39.0,635.0,4313.0,2427,13951.33,205.29032258064515,88.87096774193549,295.0,17400.0,207910
2023-06-01,40.0,168.0,124.0,24.0,104.0,45.20934354166667,51.0,725.0,4567.0,2345,12909.74,210.14285714285714,94.34285714285714,304.5,20430.0,228340
2023-07-01,37.0,168.0,127.0,28.0,94.0,35.036841345238095,65.0,788.0,4381.0,4196,27975.91,220.44827586206895,96.17241379310344,317.51851851851853,17850.0,246190
2023-08-01,36.0,181.0,126.0,68.0,123.0,20.21891605524862,118.0,922.0,3766.0,13467,98570.85,228.80645161290323,99.12903225806451,329.67857142857144,16830.0,263020
2023-09-01,36.0,168.0,124.0,179.0,368.0,21.750435529761905,112.0,955.0,3672.0,12265,93012.01,235.03703703703704,99.96296296296296,336.0,15110.0,278130
2023-10-01,36.0,168.0,127.0,91.0,370.0,55.92724236904761,45.0,1096.0,9658.0,4231,28987.49,248.40740740740742,96.96296296296296,346.3703703703704,22680.0,300810
2023-11-01,38.0,162.0,124.0,66.0,111.0,73.1067016234568,30.0,1320.0,5712.0,493,2641.9,274.2307692307692,97.8076923076923,372.5,27950.0,328760
2023-12-01,40.0,180.0,129.0,31.0,72.0,92.78328250555555,3.0,1206.0,5168.0,145,443.57,293.5,96.16666666666667,389.6666666666667,30470.0,359230
2024-01-01,38.0,177.0,126.0,51.0,72.0,81.67237288135594,11.0,1172.0,14699.0,114,437.25,313.5625,94.59375,408.15625,26000.0,385230
2024-02-01,37.0,159.0,119.0,42.0,252.0,76.19503144654088,24.0,1151.0,4106.0,1823,13836.43,324.96774193548384,93.93548387096774,418.8333333333333,28530.0,413760
2024-03-01,41.0,177.0,125.0,0.0,358.0,68.569604519774,30.0,1176.0,4807.0,5424,45207.12,333.969696969697,96.60606060606061,430.57575757575756,28410.0,442170
2024-04-01,40.0,171.0,123.0,0.0,219.0,46.48070175438596,65.0,1078.0,4314.0,7010,48581.0,339.80645161290323,94.90322580645162,434.6666666666667,26550.0,468720
2024-05-01,38.0,175.0,128.0,2.0,84.0,34.89508571428571,79.0,1518.0,5176.0,5793,46564.58,350.73333333333335,99.33333333333333,448.7142857142857,38930.0,507650
2024-06-01,34.0,166.0,122.0,15.0,107.0,39.04692771084337,47.0,828.0,4428.0,3609,23717.97,356.0,101.46666666666667,457.84,35050.0,542700
2024-07-01,38.0,125.0,128.0,7.0,92.0,27.17424,64.0,655.0,5555.0,11051,84507.17,362.0833333333333,100.54166666666667,462.3636363636364,35420.0,578120
2024-08-01,60.0,170.0,128.0,9.0,132.0,36.38294117647059,71.0,622.0,5213.0,17766,157816.32,369.7241379310345,102.37931034482759,472.25925925925924,36830.0,614950
2024-09-01,39.0,170.0,123.0,63.0,364.0,24.38429411764706,106.0,705.0,5326.0,26844,255030.12,368.7894736842105,107.26315789473684,476.05263157894734,38110.0,653060
2024-10-01,38.0,174.0,127.0,58.0,364.0,46.298850574712645,69.0,606.0,4461.0,6595,49401.85,326.8,107.8,434.6,41890.0,694950
2024-11-01,37.0,168.0,120.0,37.0,99.0,91.78392857142858,3.0,457.0,4165.0,377,1266.39,375.0,102.46153846153847,477.46153846153845,45450.0,740400
2024-12-01,35.0,177.0,126.0,52.0,72.0,94.25355932203391,2.0,401.0,5866.0,89,340.0,376.8333333333333,102.25,479.1666666666667,49150.0,789550
